"id_rubrique","nom","edito","titre_seo","seo","parent","ordre","active","dept","created","modified","modifier"
"245","Au bord de l&#39;eau",,,,"1","3","1","36","2015-07-07 10:00:51","2016-02-02 09:45:43","Responsable 35"
"246","Artisanat",,,,"3","3","1","36","2015-07-07 10:01:54","2016-02-02 09:45:43","Responsable 35"
"247","Les pieds dans l&#39;eau",,,,"3","4","1","36","2015-07-07 10:02:13","2016-02-02 09:45:43","Responsable 35"
"248","Villages et patrimoine",,,,"3","1","1","84","2015-07-07 20:30:29","2016-02-02 09:45:43","Responsable 83"
"249","Services pour les parents",,,,"5","0","1","84","2015-07-07 20:31:39","2021-08-25 13:48:16","Christelle Uyttersprot"
"250","Boutiques sympas",,,,"5","1","1","84","2015-07-07 20:31:49","2017-11-09 08:44:09","Responsable 83"
"251","Hébergements insolites",,,,"5","2","1","84","2015-07-07 20:32:00","2017-11-09 08:44:18","Responsable 83"
"253","Chevaux et ânes",,,,"1","3","0","54","2015-07-15 11:04:27","2018-10-09 12:31:45","Maud Léger"
"254","Au bord de l&#39;eau",,,,"1","1","1","54","2015-07-15 11:04:42","2018-10-09 12:30:55","Responsable 53"
"257","Au bord de l&#39;eau",,,,"1","3","1","84","2015-08-30 19:44:45","2019-01-31 08:50:33","Responsable 83"
"258","Les pieds dans l&#39;eau",,,,"4","2","1","84","2015-08-30 19:45:11","2016-02-02 09:45:43","Responsable 83"
"259","Artisanat",,,,"3","2","1","84","2015-08-31 22:39:56","2016-02-02 09:45:43","Responsable 83"
